"date","statement","falsehood","analysis","category","keywords"
" Oct 24","Falsely described an Obamacare study: “Over two thirds of the counties are losing insurers.”","Falsely described Obamacare","The Kaiser study found that about one third of U.S. counties will have only one insurer on Obamacare marketplaces. It did not talk about what percentage of counties had lost insurers.","Health care",""
" Oct 5","Falsely claimed he was endorsed by part of the U.S. government: “ICE, two days ago, ICE, the first time they’ve ever endorsed”; “ICE endorsed me…”","Endorsed by ICE","Trump was endorsed by an ICE employees’ union, not the agency itself. And it was more than a week ago, not two days.","Trump's endorsements",""
" Sep 19","Falsely claimed Obama went on an “apology tour” during which he “apologized for the United States: ‘We’re sorry, we’re so sorry, we are so sorry.’”","Obama apology tour","While Obama discussed U.S. failings, he never uttered an apology for the United States.","Obama's record",""
" Sep 28","Falsely claimed Clinton is outspending him on ads by a “50 to 1” ratio.","Clinton has outspent him 50 to 1 on ads","The actual ratio is 11 to 1 or less, depending on who is counting and how.","The campaign",""
" Oct 19","Falsely said of Russia, “They’ve taken over the Middle East.”","Russia has taken over the middle east","This is a massive exaggeration. Russia has intervened in Syria and increased its influence in other countries in the region, but is not the dominant power there.","Russia",""
" Oct 9","Falsely said, “Our taxes are so high. Just about the highest in the world.”","Said U.S. taxes are ""the highest in the world""","The U.S. has below-average taxes for the industrialized world. It is among the highest with regard to corporate taxes alone, but Trump did not specify.","Taxes",""
" Oct 15","Falsely said of one of his sexual assault accusers, Summer Zervos: “Today, the cousin of one of these people, very close to her, wrote a letter that what she said was a lie.”","Falsely described his sex assault allegations","The cousin’s letter did not go so far as to say the accusation was a lie. It said Zervos had previously spoken highly of Trump, and concluded, “I can only imagine that Summer’s actions today are nothing more than an attempt to regain the spotlight at Mr. Trump’s expense.” There is no evidence the cousin is close with Zervos.","Sex assault allegations",""
" Sep 20","Falsely claimed “Hillary Clinton is taking the day off again.”","One off","While Clinton had no public events, she held a terrorism call with top security aides.","Clinton's health",""
" Oct 5","Falsely said Federal Reserve chief Janet Yellen “knows she’s supposed to be inching them (interest rates) up and she’s not doing it.”","The Fed is ""political""","Trump was alleging with no evidence that Yellen was keeping rates low to help Democrats. By all expert accounts, she is keeping them low because she believes this is best for the economy.","Government ""corruption""",""
" Sep 16","Falsely claimed 58 per cent of African-American youth can't get a job.","Exaggerated black unemployment","It's 26 per cent","African Americans/inner cities",""
" Sep 16","Falsely claimed 65 per cent of black children under the age of 6 are in poverty.","Exaggerated black unemployment","Not true in even one state","African Americans/inner cities",""
" Oct 22","Falsely said, “As secretary of state, Hillary Clinton allowed thousands (of illegal immigrants) – I mean, all of them, thousands – to be released because their home countries wouldn’t take them back. Think of it.”","Clinton brought back criminal deportees","A 2001 Supreme Court decision required these people to be released if their home countries wouldn’t take them back. While some critics believe the Bush and Obama administration should have done more to pressure these countries, it wasn’t Clinton’s optional decision to release them.","Clinton's record",""
" Sep 27","Falsely said, “You look at African-American youth with unemployment rates in the 50s.”","Exaggerated black unemployment","The unemployment rate for African-American youth is 26 per cent.","African Americans/inner cities",""
" Sep 28","Falsely said, “58 per cent of African-American youth are not working.”","Exaggerated black unemployment","The figure was 58 per cent early in the year, but it is now down to 55 per cent. And it is misleading regardless, as it counts people who aren’t looking for jobs, like students and the children of black millionaires. The actual unemployment rate for black youth is 26 per cent.","African Americans/inner cities",""
" Oct 5","Falsely said, “58 per cent of African-American youth don’t have jobs.”","Exaggerated black unemployment","This figure was correct early in the year, but it has now fallen to 55 per cent. Regardless, it is also misleading, as it counts high school students and wealthy youth who don’t need jobs.","African Americans/inner cities",""
" Oct 9","Falsely said, “African- Americans now 45 per cent poverty in the inner cities.”","Exaggerated black unemployment","It has never been clear how Trump defines “inner cities” – he appears to use the phrase synonymously with “black neighbourhood” – but he appeared to be mangling the statistic he usually uses in his speeches: “45 per cent of black children under the age of six live in poverty.” Overall black poverty is 24 per cent; it is well under 45 per cent even in several cities with a significant black poverty challenge, such as Memphis (35 per cent).","African Americans/inner cities",""
" Oct 9","Falsely said “jobs are essentially nonexistent” in the “inner cities.”","Exaggerated black unemployment","Of course, millions of people living in urban cores are employed; many inner cities are thriving.","African Americans/inner cities",""
" Oct 21","Falsely said of “inner cities,” “There’s no education. There are no jobs.”","Exaggerated black unemployment","This is a gross exaggeration; many inner cities are thriving, and there are educated and employed people even in poor neighbourhoods.","African Americans/inner cities",""
" Oct 22","Falsely said of “inner cities”: “There’s no education. There’s no jobs.”","Exaggerated black unemployment","This is a gross exaggeration; many inner cities are thriving, and there are educated and employed people even in poor neighbourhoods.","African Americans/inner cities",""
" Sep 16","Falsely claimed black people have “no jobs, no education”; falsely claimed black people in “inner cities” can’t walk down the street without getting shot","Exaggerated black unemployment/Exaggerated violence in U.S. cities","Many of America’s urban cores are thriving. Trump appears to use the phrase “inner cities” to describe poor black neighbourhoods, though most black Americans in metro areas live in the suburbs, but he is still wrong; there are, of course, educated and employed people even in low-income black communities.","African Americans/inner cities",""
" Sep 20","Falsely said Chicago’s 3,000 shooting victims since January is “worse than Afghanistan.”","Exaggerated violence in U.S. cities","Afghanistan had 1,601 civilian deaths, plus 3,565 injuries, in the first half of the year.","African Americans/inner cities",""
" Oct 18","Falsely said, “As secretary of state, Hillary Clinton allowed thousands of criminal aliens to be released because their home countries refused to take them … Who would do this? Who would do this? You know who would do this? A weak and pathetic politician.”","Clinton brought back criminal deportees","A 2001 Supreme Court decision requires these people to be released after six months if their home countries won’t take them back. While some critics say the U.S. should do more to pressure these reluctant countries to change their policies, it was not Clinton’s decision to release them or not.","Clinton's record",""
" Sep 22","Falsely said, “Homicides are up more than 50 per cent in Washington, DC and more than 60 per cent in Baltimore.”","Exaggerated violence in U.S. cities","This was true in 2015, but is not any more. Both cities are currently experiencing homicide declines of roughly 10 per cent this year compared to last.","African Americans/inner cities",""
" Sep 24","Falsely said, “Crime is rising like never before in the inner cities.”","Exaggerated violence in U.S. cities","While crime is rising in many big cities, the increase is far from historic; there was a much bigger spike in the mid-late 1960s, for example. Also, the increase is far from uniform: of 51 big cities, 22 experienced homicide declines in the first half of 2016. Finally, the increases come after a two-decade decline, so the overall level is still near historic lows.","African Americans/inner cities",""
" Sep 26","Falsely said murder has increased in New York City under the current mayor who opposes stop and frisk: “Murders are up. All right. You check it.”","Exaggerated violence in U.S. cities","In Bill de Blasio’s first year, 2014, the number of murders hit another historic low: 328. The city is still near that pace; there have been 246 so far this year, down from last year.","African Americans/inner cities",""
" Sep 28","Falsely said, “Homicides are up more than 50 per cent in Washington, D.C. and more than 60 per cent in Baltimore.”","Exaggerated violence in U.S. cities","This was true last year, but not anymore: both are currently experiencing declines. D.C. has had 104 homicides this year, down from 119 at this time last year. The Washington Post last week wrote, “According to police data, Baltimore had 214 homicides through earlier this month, down from 228 at the same point last year.”","African Americans/inner cities",""
" Oct 5","Falsely said, “Homicides are up nearly 50 per cent in Washington DC and more than 60 per cent in Baltimore.”","Exaggerated violence in U.S. cities","This was true last year, but not this year. Homicides are actually down in both cities in 2016, DC’s by 12 per cent as of yesterday.","African Americans/inner cities",""
" Oct 9","Falsely said, “Chicago; you take a look at Washington, D.C., we have an increase in murder within our cities.”","Exaggerated violence in U.S. cities","Murder is down in D.C. this year. There were 106 homicides as of Oct. 7, compared to 120 at the same time last year.","African Americans/inner cities",""
" Oct 19","Falsely said, “In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.”","Exaggerated violence in U.S. cities","Chicago no longer has especially strict gun laws, and certainly is not “by far” the strictest; it is comparable to New York City, which has far less gun violence. Its handgun ban was struck down in 2010; Illinois’ concealed carry ban was struck down in 2012; its gun registry was abandoned in 2013; its ban on gun shops was struck down in 2014.","African Americans/inner cities",""
" Oct 21","Falsely said, “Homicides are up nearly 50 per cent in Washington D.C. and more than 60 per cent in Baltimore. And it’s getting worse and worse and worse.”","Exaggerated violence in U.S. cities","This was true last year, but not this year. Homicides are actually down in both cities in 2016, DC’s by 13 per cent as of yesterday.","African Americans/inner cities",""
" Oct 22","Falsely said, “Homicides are up nearly 50 per cent in Washington D.C. and more than 60 per cent in Baltimore.”","Exaggerated violence in U.S. cities","This was true last year, but not this year. Homicides are down in both cities in 2016, DC’s by 13 per cent as of Friday.","African Americans/inner cities",""
" Sep 15","Falsely claimed his popularity with black voters has jumped “like a rocket ship”","Falsely described his support among minorities","It hasn't.","African Americans/inner cities",""
" Oct 1","Falsely said, “We have the support of the Hispanics and the African-Americans.”","Falsely described his support among minorities","Trump is losing by massive margins with Hispanics and African-Americans.","African Americans/inner cities",""
" Oct 17","Falsely said, of African-Americans, “They like me better than they like her.”","Falsely described his support among minorities","Clinton was up 86 per cent to 9 per cent with black voters in a typical recent poll.","African Americans/inner cities",""
" Sep 15","Falsely claimed Hispanic poverty has increased under Obama","Hispanic poverty has increased","It hasn't.","African Americans/inner cities",""
" Sep 16","Falsely claimed Hispanic poverty has seen a catastrophic increase under Obama.","Hispanic poverty has increased","The Hispanic poverty rate has fallen since 2009; Trump is beginning his count in 2008, before Obama took office","African Americans/inner cities",""
" Sep 17","Falsely said, “Since President Obama came into office, another 2 million Hispanic Americans have fallen into poverty.”","Hispanic poverty has increased","This figure begins the count during George W. Bush’s last year; when the count begins in 2009, the figure is less than 1 million. It is also highly misleading to use a raw number; the poverty rate for Hispanics has fallen.","African Americans/inner cities",""
" Oct 15","Falsely said, “The number of murders in our country is the highest it’s been in 45 years. They don’t tell you that.”","Said murders are ""the highest in 45 years""","The increase in murders between 2014 and 2015, 11 per cent, was the highest in 45 years. But the number of murders was even lower than it was 45 years ago even with more than 100 million more people.","African Americans/inner cities",""
" Oct 18","Falsely said, “And then you wonder why the murder rate’s the highest in 45 years.”","Said murders are ""the highest in 45 years""","The murder rate is among the lowest of the last 45 years. While it rose more than 10 per cent between 2014 and 2015 — the biggest spike in 45 years — it was still near historic lows at 4.9 per 100,000 people in 2015. In 1970, it was 7.9 per 100,000 people.","African Americans/inner cities",""
" Oct 21","Falsely said, “The murder rate in the United States is the highest it’s been in 45 years. And the dishonest media, they never tell you that.”","Said murders are ""the highest in 45 years""","The media does not repeat this because it is false. The increase in murders between 2014 and 2015, 11 per cent, was the highest in 45 years. But the number of murders was even lower than it was 45 years ago – even though the country had more than 100 million more people. The murder rate remains near a historic low.","African Americans/inner cities",""
" Oct 22","Falsely said, “The murder rate in the United States is the highest it’s been in 45 years.”","Said murders are ""the highest in 45 years""","The increase in murders between 2014 and 2015, 11 per cent, was the highest in 45 years. But the number of murders was even lower than it was 45 years ago – even though the country had more than 100 million more people. The murder rate remains near a historic low.","African Americans/inner cities",""
" Oct 24","Falsely said, “When you hear about the highest murder rate in 45 years, there’s a lot of reasons for it.”","Said murders are ""the highest in 45 years""","The increase in murders between 2014 and 2015, 11 per cent, was the highest in 45 years. But the number of murders was even lower than it was 45 years ago — even though the country had more than 100 million more people. The murder rate remains near a historic low.","African Americans/inner cities",""
" Sep 26","Falsely said “you’re wrong” when the moderator told him a judge ruled New York City’s “stop and frisk” program unconstitutional.","Stop and frisk not unconstitutional","That happened in 2013.","African Americans/inner cities",""
" Sep 28","Falsely claimed debate moderator Lester Holt was “100 per cent wrong” when he said a judge ruled the police practice of “stop-and-frisk” unconstitutional in New York City.","Stop and frisk not unconstitutional","Holt was right — that happened, in 2013.","African Americans/inner cities",""
" Oct 17","Falsely said, “She can’t get 500 people into a room. It’s crazy.”","Clinton can't draw crowds","Clinton drew more than 15,000 people to a rally last week in Ohio.","The campaign",""
" Oct 24","Falsely said of the Clinton campaign, “They’ve given up in Ohio.”","Clinton has given up Ohio","They have not. Clinton and her top allies have made repeated October visits to Ohio.","The campaign",""
" Sep 22","Falsely said Clinton “has already” outspent him “50 to 1” on commercials in Florida.","Clinton has outspent him 50 to 1 on ads","While it appears she may eventually do so, she has not so far. The Tampa Bay Times says she and her allies have so far spent $38 million to $9 million for Trump and his allies, a 4-to-1 ratio; NBC’s latest numbers have it $22 million to $2 million, an 11-to-1 ratio.","The campaign",""
" Oct 22","Falsely said, “She is outspending our campaign in some ways by 50 to 1 in ads. We have markets where it’s 50 to 1. And we’re tied. That’s pretty good, right.”","Clinton has outspent him 50 to 1 on ads","This Trump claim refers to Florida: an article in September said Clinton was on pace to outspend Trump 53 to 1 on ads there by Election Day. But that has not happened: Trump had spent $12 million to Clinton’s $43 million as of last week, CNN reported, not even 4-to-1. Also, he is losing by an average of four points in Florida, not tied.","The campaign",""
" Sep 24","Falsely said, “We haven’t started advertising (in Virginia). And they’re spending a fortune.”","Clinton spending in Virginia","There are actually two false claims here. Trump has been advertising in Virginia for weeks; he made a $2 million ad buy there in early September. And opponent Hillary Clinton’s campaign is not spending anything at all there – it pulled off the airwaves on August 1.","The campaign",""
" Sep 26","Falsely said, “She spent hundreds of millions of dollars on negative ads on me.”","Clinton's spent hundreds of millions on ads against Trump","Clinton has spent about $100 million in total advertising, CBS reports.","The campaign",""
" Sep 28","Falsely said, “Now don’t forget, Hillary has spent over $200 million on ads against me . . . $200 million and more has been spent on me.”","Clinton's spent hundreds of millions on ads against Trump","Clinton has spent $53 million on ads against him, McClatchy reports, citing the Wesleyan Media Project.","The campaign",""
" Sep 24","Falsely said of Democratic vice-presidential candidate Tim Kaine, “He won his election by a very, very close margin.”","Kaine won by a close margin","Kaine won the race for his Senate seat by six percentage points, 53 per cent to 47 per cent.","WTF",""
" Sep 28","Falsely said of Democratic vice-presidential candidate Tim Kaine: “He wasn’t popular in Virginia . . . he won very close race (sic).”","Kaine won by a close margin","Kaine won his Senate seat by a comfortable six percentage points, 53 per cent to 47 per cent.","WTF",""
" Sep 15","Falsely claimed Clinton didn’t release cholesterol or EKG information","Clinton did not release health info","She did.","Clinton's health",""
" Oct 25","Falsely said of Clinton, “Her rallies last for about 15 minutes.”","Clinton rallies last for 15 minutes","Clinton speaks for longer than that, and there are other speakers too.","Clinton's health",""
" Oct 25","Falsely said, “Did you see her after the debate? She was exhausted.”","Clinton was exhausted after the debate","Clinton appeared cheerful and energetic after the last debate, and she took questions from reporters on her plane. Trump left without taking questions.","Clinton's health",""
" Oct 15","Falsely said, “If you remember, Hillary Clinton, when we brought killers, drug dealers, gang members back to countries and intelligently the countries said ‘we’re not taking them, we don’t want them, we’re not taking them,’ she said ‘Oh, bring them back.’”","Clinton brought back criminal deportees","This is a gross mischaracterization of the situation and Clinton’s role. Twenty-three countries refuse or often refuse to take back illegal immigrants convicted of crimes in America. Under a 2001 U.S. Supreme Court decision, American authorities cannot hold these people indefinitely for deportation, so they are released in America. They are not flown to their home countries and rejected, and Clinton does not personally decide to take them back. Both the Obama and Bush administrations have refused to retaliate against the refusing countries, like withholding visas.","Clinton's record",""
" Oct 17","Falsely said, “The Secretary of State, Hillary Clinton, allowed thousands of criminal aliens to be released because their home countries wouldn’t take them back.”","Clinton brought back criminal deportees","A 2001 Supreme Court decision requires these people to be released after six months if their home countries won’t take them. While some critics say the U.S. should take a harder line on the matter to pressure these reluctant countries, it was not Clinton’s decision to release them or not.","Clinton's record",""
" Oct 21","Falsely said, “As secretary of state, Hillary Clinton allowed thousands of criminal aliens to be released because their home countries wouldn’t take them back.”","Clinton brought back criminal deportees","A 2001 Supreme Court decision required these people to be released if their home countries wouldn’t take them back. While some critics believe the Bush and Obama administration should have done more to pressure these countries, it wasn’t Clinton’s optional decision to release them.","Clinton's record",""
" Oct 24","Falsely said, “When Hillary Clinton was secretary of state they would catch a murderer, drug lords, gang members, violent criminals and they would bring them back to their country … Hillary Clinton was told that their country won’t take them, so she said, that’s okay bring them back, we don’t want to create waves.”","Clinton brought back criminal deportees","This is thoroughly incorrect. When countries won’t take back an illegal immigrant who has committed a crime, the U.S. does not deport them anyway. It was not Clinton’s choice to release them; under a 2001 Supreme Court decision, they cannot be held indefinitely.","Clinton's record",""
" Oct 9","Falsely claimed Clinton could have changed the tax code “years ago” had she tried to do so: “She’s a United States senator.”","Clinton could have fixed the tax code","Clinton was correct that her powers on such issues were very limited with a Republican president in office.","Clinton's record",""
" Oct 1","Falsely said, “Here’s a person who’s only worked for government, essentially.”","Clinton has only ever worked in govt.","Clinton’s private-sector career was cut short by Bill’s political career, but she worked non-government jobs for several years as a young woman: Lawyer at the Children’s Defense Fund and later Rose Law Firm, and instructor at the University of Arkansas law school. She also served on corporate boards, including Walmart’s.","Clinton's record",""
" Sep 19","Falsely suggested Hillary Clinton has never criticized people who “oppose and murder women and gays overseas.”","Clinton hasn't criticized people who “oppose and murder women and gays overseas.”","Clinton has denounced such oppression as “criminal.”","Clinton's record",""
" Sep 20","Falsely said Hillary Clinton has never condemned “those who oppose and murder women and gays overseas.”","Clinton hasn't criticized people who “oppose and murder women and gays overseas.”","Clinton has denounced such oppression as “criminal.”","Clinton's record",""
" Sep 15","Falsely claimed the Clinton campaign invented the phrase “alt-right”","Clinton invented the ""alt-right""","She didn't.","Clinton's record",""
" Oct 5","Falsely said: “Hillary’s Korea deal — the deal she made with South Korea — also cost us another 100,000 jobs.”","Clinton lost 100,000 jobs to Korea","The job-loss figure is disputed, but the deal was certainly not “Hillary’s Korea deal” or one “she made.” It was primarily negotiated, as always, by the Office of the U.S. Trade Representative, part of Obama’s Executive Office of the President, not the State Department.","Clinton's record",""
" Sep 16","Falsely blamed Hillary Clinton’s campaign for starting the birther saga","Clinton started birtherism","There is no evidence that Clinton’s started the conspiracy theory that Trump promoted for years.","Clinton's record",""
" Sep 26","Falsely alleged that the Clinton campaign played a high-level role in the birther conspiracy theory: “Patti Solis Doyle was on Wolf Blitzer saying that this happened.”","Clinton started birtherism","Trump completely mischaracterized her CNN remarks; she had said that a campaign volunteer who forwarded a birther email was fired.","Clinton's record",""
" Oct 9","Falsely said of the “birther” controversy: “You know very well, your campaign Sidney Blumenthal … he's the one that got this started along with your campaign manager and they were on television just two weeks ago, she was, saying exactly that.”","Clinton started birtherism","There is no evidence that Blumenthal or Clinton’s campaign manager started the conspiracy theory that Trump promoted for years; her campaign manager did not support Trump’s assertion on TV.","Clinton's record",""
" Oct 19","Falsely said, “Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts.”","Clinton supported Trump's wall","Trump has made it clear that he means a very specific thing by “the wall”: a giant concrete barrier, 35 feet or higher, along the entirety of the U.S.-Mexico border other than the places where there are natural barriers. Clinton voted for a different barrier: shorter fencing, of a different kind, across a shorter distance. Trump himself said last year that this 2006 proposal was not the same thing: “Such a little wall, it was such a nothing wall.”","Clinton's record",""
" Oct 18","Falsely said, “Hillary thinks most of the country is either deplorable, irredeemable, un-American, racist, or basement-dwellers in the case of the Bernie Sanders people. She said they were basement-dwellers.”","Clinton thinks the country is deplorable","There is no indication Clinton believes this about “most of the country.” She used “deplorables” and “irredeemable” to refer specifically to “half” of Trump supporters, then expressed regret for using the word “half.” She used “un-American” to refer specifically to Republican “obstructionists” in Congress. She never disparaged Sanders supporters as “basement-dwellers,” but sympathetically said “some” have been forced to live in their parents’ basements because they cannot find good jobs.","Clinton's record",""
" Oct 22","Falsely said, “She smears all of you as deplorable and irredeemable.”","Clinton thinks the country is deplorable","Clinton famously said “half” of Trump supporters are in a “basket of deplorables” and are “irredeemable,” not all of them.","Clinton's record",""
" Oct 9","Falsely claimed Clinton is pledging to leave the carried interest tax loophole untouched: “Very interesting why she's leaving carried interest.”","Falsely described Clinton's tax plan","Clinton is even vowing to get rid of the loophole by executive action if necessary.","Clinton's record",""
" Sep 20","Falsely claimed, “All this disaster with ISIS happened on Hillary Clinton’s watch.”","Daesh ""formed"" under Clinton and Obama","ISIS was founded before Clinton was secretary of state. Its spate of attacks in the West occurred after her tenure.","Daesh/Middle east",""
" Sep 20","Falsely claimed, “ISIS was formed in the vacuum that she and Barack Obama created.”","Daesh ""formed"" under Clinton and Obama","ISIS was formed before Obama took office or Clinton became secretary of state.","Daesh/Middle east",""
" Sep 26","Falsely said, “ISIS formed in this vacuum created by Barack Obama and Secretary Clinton.”","Daesh ""formed"" under Clinton and Obama","ISIS was created before Obama became president and Clinton became secretary of state. While it gained strength during their tenures, it is false to say it “formed” then.","Daesh/Middle east",""
" Oct 9","Falsely said, “Her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they've left, that's why ISIS formed in the first place.”","Daesh ""formed"" under Clinton and Obama","ISIS was formed long before Obama’s troop withdrawal; it even started using the name “Islamic State” during the Bush presidency.","Daesh/Middle east",""
" Oct 15","Falsely said, of Iraq, Clinton and Obama, “The way they got out was disgraceful — and ISIS formed.”","Daesh ""formed"" under Clinton and Obama","Daesh, also known as ISIS and ISIL, formed long before the U.S. troop withdrawal in 2011; it started using the name Islamic State of Iraq in 2006, under George W. Bush. While it added Syria to its name in 2013, that was not the formation of a new group.)","Daesh/Middle east",""
" Oct 19","Falsely attributed the Mosul troop withdrawal to Clinton: “But when she left, when she took everybody out, we lost Mosul.”","Daesh ""formed"" under Clinton and Obama","Clinton did not personally take people out of Mosul; the troop withdrawal was agreed to by former president George W. Bush, and Clinton, as secretary of state under Obama, was not the decision-maker on military matters. Further, people involved in the discussions say she advocated keeping a residual force in Iraq.","Daesh/Middle east",""
" Oct 19","Falsely said, “She gave us ISIS as sure as you are sitting there.”","Daesh ""formed"" under Clinton and Obama","Trump was slightly more nuanced this time than usual, saying Clinton “gave us ISIS” with her involvement in the pullout of U.S. troops from Iraq. But it remains true that Daesh was very much around during the George W. Bush administration. And it is unfair to blame the secretary of state for a major military decision, especially one negotiated under Bush.","Daesh/Middle east",""
" Oct 22","Falsely said of the Daesh terror group, also known as the Islamic State, “When they started – during her tenure as secretary of state – when they started, they started as a little group…why didn’t she stop it in the first place? Why did she let it start?”","Daesh ""formed"" under Clinton and Obama","ISIS started long before Clinton became secretary of state in 2009. The group was founded under a different name in 1999; it started using the name Islamic State of Iraq in 2006, under Bush.","Daesh/Middle east",""
" Oct 23","Falsely said, of the Daesh (Islamic State) terror group, “She’s the one that allowed it to form.”","Daesh ""formed"" under Clinton and Obama","The group first formed in 1999 under a different name. It was using the Islamic State name by 2006, under George W. Bush.","Daesh/Middle east",""
" Oct 25","Falsely said of Hillary Clinton, “She gave them Mosul. She didn’t know what she was doing.”","Daesh ""formed"" under Clinton and Obama","As secretary of state, Clinton was not in charge of military decisions in Iraq. And she advocated for keeping a residual troop force in the country rather than a more complete withdrawal.","Daesh/Middle east",""
" Oct 23","Falsely said the operation to retake Mosul, Iraq from Daesh is a “total disaster.”","Falsely described the Mosul invasion","This is a subjective claim, but there is no evidence at all that the operation is a “total disaster.” The anti-ISIS forces have made substantial gains.","Daesh/Middle east",""
" Oct 5","Falsely said of Iran, “In less than 10 years now, they will have nuclear weapons.”","Iran deal was a giveaway","There is no evidence for this claim. The deal imposes strict constraints on Iran’s nuclear program for 11 to 15 years.","Daesh/Middle east",""
" Oct 9","Falsely said of the Iran deal: “It's a one-sided transaction where we're giving back $150 billion to a terrorist state.”","Iran deal was a giveaway","Writes the Associated Press: “The deal allowed Iran to get access to its own money that was frozen in foreign bank accounts, estimated at about $100 billion. The U.S. didn’t give Iran $150 billion.”","Daesh/Middle east",""
" Oct 19","Falsely said, of the Iran nuclear deal, “We gave them $150 billion back.”","Iran deal was a giveaway","Trump is misstating both the amount and the nature of the money. Writes the Associated Press: “The deal allowed Iran to get access to its own money that was frozen in foreign bank accounts, estimated at about $100 billion. The U.S. didn’t give Iran $150 billion.”","Daesh/Middle east",""
" Oct 22","Falsely said the U.S. provided Iran “$150 billion” as part of the nuclear deal.","Iran deal was a giveaway","Estimates vary, but experts say it is about $100 billion in unfrozen Iranian assets, not $150 billion.","Daesh/Middle east",""
" Oct 23","Falsely said, “We created a monster with Iran by giving them $150 billion … we gave them back $150 billion.”","Iran deal was a giveaway","Estimates vary, but experts say the U.S. nuclear deal allowed Iran access to about $100 billion in frozen assets; it wasn’t $150 billion, and wasn’t literally the U.S. giving money back.","Daesh/Middle east",""
" Sep 26","Falsely claimed that Daesh (also known as the Islamic State) has “a lot of the oil in Libya.”","ISIS has the oil in Libya","Independent experts say this is false. “They wanted to disrupt it, destroy it, not to run it,"" energy analyst Matthew Bey told CNBC earlier this month. ""They had control of fields around (the city of) Sirte for a while, but they have since been mostly pushed from that area, and never had control of any upstream activity.”","Daesh/Middle east",""
" Oct 9","Falsely said, of Libya, “ISIS has a good chunk of their oil. I'm sure you probably have heard that.”","ISIS has the oil in Libya","ISIS has not done so. “They wanted to disrupt it, destroy it, not to run it,"" energy analyst Matthew Bey told CNBC in September.","Daesh/Middle east",""
" Sep 19","Falsely suggested America “allow(s)” jihadi magazines to be “sold” domestically","Jihadi magazines","There is no evidence for this claim.","Daesh/Middle east",""
" Oct 9","Falsely said, “In San Bernardino, many people saw the bombs all over the apartment of the two people that killed 14 and wounded many, many people…Muslims have to report the problems when they see them.”","Muslims saw the bombs in San Bernardino","Nobody saw bombs in the home of the terrorists.","Daesh/Middle east",""
